Chiffres
AVC;accident vasculaire cérébral
AVD;activités de la vie domestique
aVf, aVL, aVr;dérivations électrocardiographiques unipolaires
AVK;anti-vitamine K
AVP;accident sur la voie publique
AVQ;activités de la vie quotidienne
B
BAAR;Bacille acido-alcoolo-résistant
BABP;plâtre brachio-anté-brachio-palmaire
BAT;biopsie d'artère temporale → Maladie de Horton
BAV;bloc auriculo-ventriculaire, ou baisse de l'acuité visuelle, ou Bas à varice
BB;Bébé
BBBB;bébé bouge bien
BBD;bloc de branche droit
BBG;bloc de branche gauche
BBK;signe de Babinski
BBS;maladie de Besnier-Boeck-Schaumann (sarcoïdose)
BCG;bacille de Calmette et Guérin
BD;bronchodilatateur
BDA;bouffée délirante aiguë
BDC;bruit du cœur
BEA;bonne entrée d'air (BEAx2 pour les deux poumons)
BEG;bon état général
BEH;bulletin épidémiologique hebdomadaire
BES;bien-être social, ou Bilan Électrolytique Sanguin
BGN;bacille gram négatif
BGP;bacille gram positif
BH;bilan hépatique
BHA;bruits hydro-aériques
BHD;buprénorphine haut dosage (Subutex®)
BHE;barrière hémato-encéphalique
BHR;bactéries hautement résistantes
BID;(Bis In Die) Deux fois par jour
BIP;diamètre bipariétal
BK;bacille de Koch
BLSE;Bêta-lactamase à spectre élargi, ou étendu
BM;biopsie médullaire, ou brûlures mictionnelles
BMI (body mass index);indice de masse corporelle
BMR;bactérie multirésistante aux antibiotiques
BNP;Brain Natriuretic Peptide
BOM;biopsie ostéomédullaire
BP;blood patch
BPCO;bronchopneumopathie chronique obstructive
BPM;battements par minute
BS;bilan sanguin
BSH;bonne santé habituelle
BSA;bloc sino auriculaire
BSAD;bourse sous-acromio-deltoïdienne
BTTA;Botulinum toxin type A (Toxine botulique)
BU;bandelette urinaire
BUM (fiche);fiche de bon usage du médicament
BUT;break up time (test de rupture lacrymale)
BPM;battement par minute
Bx;biopsie
C
C3G;céphalosporine troisième génération
Ca;calcium
CAI / CAE;conduit auditif interne / externe
CAT;conduite à tenir
CAMSP;centre d'action médico-social précoce
CB;corpuscule de Barr
CBC;carcinome broncho-pulmonaire ou carcinome basocellulaire
CBP;Cirrhose biliaire primitive
CCA;chef de clinique assistant ou Chondrocalcinose articulaire
CCAM;classification commune des actes médicaux
CCH;crise convulsive hyperthermique
CCI;cathéter de chambre implantable
CCMH ou CGMH;concentration corpusculaire moyenne en hémoglobine
CCP;concentrés des complexes prothrombiniques
CCR;cancer colorectal
CCU;critical care unit (unité de soins intensifs)
CCVG;chambre de chasse du ventricule gauche
CD;artère coronaire droite
CDOM;Conseil Départemental de l'Ordre des Médecins
CEC;circulation extra-corporelle
CEE;choc électrique externe
CF;constipation fonctionnelle
CG;chorionic gonadotropin (hormone gonadotrophine chorionique)
CH;centre hospitalier ou centésimale hahnemannienne en homéopathie
CHC;carcinome hépatocellulaire
CHD;centre hospitalier départemental
CHH;complexe hypothalamo-hypophysaire
CHR;centre hospitalier régional
CHRU;centre hospitalier régional universitaire
CHS;centre hospitalier spécialisé
CHSCT;comité d'hygiène, de sécurité et des conditions de travail
CHSLD;centre d'hébergement et de soins de longue durée
CHU;centre hospitalier universitaire
CHX;Chirurgie
CI;cadre infirmier, contre-indication ou chambre implantable
CIA;communication inter-auriculaire
CICR;Comité international de la Croix-Rouge
CID;Carotide interne droite
CIDDIST;centre d'information de dépistage et de diagnostic des infections sexuellement transmissibles
CIK;chlorure de potassium
CIM;classification internationale des maladies
CIN;Cervical Intraepithelial Neoplasia (voir colposcopie)
CIP;chambre implantable percutanée
CIRC;Centre international de recherche sur le cancer
CISSS;centre intégré de santé et de services sociaux
CIUSSS;centre intégré universitaire de santé et de services sociaux
CIV;communication inter-ventriculaire ou cathéter intra-veineux
CIVD;coagulation intravasculaire disséminée
CK;créatine kinase
CLAN;comité de liaison en alimentation et nutrition
CLCC;centre de lutte contre le cancer
CLE;canal lombaire étroit
CLIN;comité de lutte contre les infections nosocomiales
CLSC;centre local de services communautaires
CLU;cortisol libre urinaire
CLUD;comité de lutte contre la douleur
CMB;concentration minimale bactéricide
CMD;cardiomyopathie dilatée
CME;commission médicale d'établissement
CMH;cardiomyopathie hypertrophique / hypertensive ou Complexe majeur d'histocompatibilité
CMI;cardiologie médicale interventionnelle, cardiomyopathie ischémique ou concentration minimale inhibitrice
CMO;cardiomyopathie obstructive
CMU;couverture maladie universelle
CMUc;couverture maladie universelle complémentaire
CMT;cancer médullaire de la thyroïde
CMV;cytomégalovirus
CNA;colique néphrétique aiguë
CND;cannabidiol
CNO;compléments nutritionnels oraux
CNOM;Conseil national de l'Ordre des médecins
CO;contraceptifs oraux ou monoxyde de carbone
co;comprimé (médicaments, au Canada)
COPS;commission relative à l'organisation de la permanence des soins
CPA;concentré plaquettaire d'aphérèse
CPBIA;contre-pulsion par ballonnet intra-aortique
CPC;cœur pulmonaire chronique
CPE;cholangio-pancréatographie endoscopique
CPIA;contre-pulsion intra aortique
CPK;créatine phosphokinase
CPRE;cholangio-pancréatographie rétrograde par voie endoscopique
CPS;concentré plaquettaire standard ou carte des Professionnels de Santé
CPT;capacité pulmonaire totale
CRF;capacité résiduelle fonctionnelle ou centre de réadaptation fonctionnelle
CRH;corticotropin releasing hormone (corticolibérine), ou compte-rendu d'hospitalisation
CRP;C reactive protein (protéine C réactive)
CRRA;centre de réception et de régulation des appels (15 du Samu)
CRUQ;Commission des relations avec les usagers et de la qualité de la prise en charge
CsA;ciclosporine A
CS;Caractère sexuel
CSH;cellule souche hématopoïétique
CSP;cholangite sclérosante primitive
CSS;syndrome de Churg-Strauss ou Conseil supérieur de la santé
CSSS;centre de santé et de services sociaux
CTMSP;classification par types en milieu de soins et services prolongés
CU;contraction utérine ou cuivre
CV;cardiovasculaire, charge virale, capacité vitale, champ visuel, corde vocale
CVC;circulation veineuse collatérale
CVF;capacité vitale forcée / capacité vitale fonctionnelle
CVL;capacité vitale lente
CVO;crise vaso-occlusive
CVT;capacité vitale totale
CVVH: continuous veno-venous hemofiltration;voir Hémofiltration
CX;artère circonflexe (coronaire)
D
D+ / d+;douleur
D2T5;vaccin anti-diphtérique divalent et anti-tétanique pentavalent
DA;délivrance artificielle ou dissection aortique
DAC;Dispositif d'annonce en cancérologie
DAD;Diffuse alveolar damage (en)
DAE;défibrillateur automatique externe
DAI;défibrillateur automatique implantable
DAL;dispositif d'aide à l'allaitement
DALA;Déficit androgénique lié à l'âge
DAM;dysfonction de l'appareil manducateur
DAN;diagnostic anténatal
DAS;Débit d'absorption spécifique
DAT;diamètre abdominal transverse
DB1 ou DBI;diabète de type 1
DB2 ou DBII;diabète de type 2
DBAI;dermatose bulleuse autoimmune
D/C;Discontinué
DC;débit cardiaque
DCaT;vaccin combiné contre la diphtérie, de type acellulaire contre la coqueluche, et contre le tétanos
DCI;dénomination commune internationale
DCD;Décédé, ou décompensation cardiaque droite
DICV;déficit immunitaire commun variable
DD;diagnostic différentiel ou délivrance dirigée ou D-dimères
DDASS;direction départementale des Affaires sanitaires et sociales
DDB;dilatation des bronches
DF;diarrhée fonctionnelle
DR;décollement rétinien
DDR;date des dernières règles
DDM;date des dernières menstruations
DDx;diagnostic différentiel
DEA;défibrillateur externe automatisé
DEC;déshydratation extracellulaire
DEG;diminution de l'état général
DEM;Débit expiratoire moyen
DEP;débit expiratoire de pointe
DES;diplôme d'études spécialisées (troisième cycle des études médicales) en France
DFG;débit de filtration glomérulaire
DFT;démences fronto-temporales
DFTN;défaut de fermeture du tube neuronal (Spina bifida)
DGC;diagnostic
DGS;direction générale de la santé
DH+ / dh+;diarrhée
DHEA;déhydroépiandrostérone
DID;diabète insulinodépendant
die;diebus quotidien (médicaments)
Diag;diagnostic
DIM;département d'information médicale, douleur intervertébrale mineure
DIU;dispositif intra-utérin
DJ;tube urétéral en double J
DL;Dose létale
DLCO;diffusion libre de CO2
DLP;dyslipidémie ou produit dose x longueur (en)
DLR;Douleur
DM;dextrométhorphane
DME;dose maximale efficace ou dossier médical électronique
DMJ;dermatomyosite juvénile
DMLA;dégénérescence maculaire liée à l'âge
DMO;"densité minérale osseuse ; dermatomyosite ossifiante"
DMP;dossier médical personnel ou dysmyélopoïèse
DNID;diabète non insulinodépendant
DMT;dose maximale tolérée
DMV;défaillance multi-viscérale
DNV;dystonie neurovégétative
DOA;décompensation oedemato-ascitique
DOPA;dihydroxyphénylalanine
DPC;duodéno-pancréatectomie céphalique (opération de Whipple)
DPCA;dialyse péritonéale continue ambulatoire
DPE;dénutrition protéino-énergétique ou duodéno-pancréatectomie élargie
DPI;diagnostic préimplantatoire
DPJ;directeur de la protection de la jeunesse
DPN;diagnostic prénatal
DPPNI;décollement prématuré d'un placenta normalement inséré
DRR;décollement de la rétine rhegmatogène
DR;dernières règles
DRP;drainage rhino-pharyngé
DRS;douleur rétrosternale
DS I / DS II;diabète sucré de type 1 / 2
DSA;défibrillateur semi-automatique
DSC;débit sanguin cérébral
DSM;Diagnostic and Statistical Manual of Mental Disorder (manuel diagnostique et statistique des troubles mentaux)
DT;Delirium Tremens ou douleurs thoraciques
DTA;démence de type Alzheimer
DTC;Doppler transcranien
DTS;désorientation temporo-spatiale
DUG;diaphragme uro-génital
DVDA;dysplasie ventriculaire droite arythmogène
DVI;dispositifs veineux implantables
Dx;diagnostic
E
EAL;Exploration d'une anomalie lipidique
EBNA;Epstein-Barr nuclear antigen (antigène nucléaire d'Epstein-Barr)
EBO;endobrachyœsophage
EBV;(Epstein-Barr virus) (virus d'Epstein-Barr)
ECA;état confusionnel aigu
ECBC;examen cytobactériologique des crachats
ECBU;examen cytobactériologique des urines
ECG;électrocardiogramme
ECHO virus;enteric cytopathogenic human orphan virus (virus orphelin humain cytopathogénique entéral)
ECOG;échelle de performance
EDM;épisode dépressif majeur
EDRF;Endothelium-derived relaxing factor, facteur relaxant dérivé de l'endothélium
EdS;épisode de soin
EDTA;étylène diamine tétra-acétique
EE;épreuve d'effort, echoendoscopie
EEB;écho-endoscopie basse
EEG;électro-encéphalogramme
EEH;écho-endoscopie haute
EER;épuration extra-rénale
EES;entraînement électrosystolique
EF;Étude de faisabilité
EFH;exploration fonctionnelle hépatique
EFM;expérience aux frontières de la mort
EFR;épreuve fonctionnelle respiratoire
EFS;établissement français du sang
EGS;évaluation gériatrique standardisée
EHC;expérience de sortie hors du corps
EHH;état hyperglycémique hyperosmolaire
EHPAD;établissement d'hébergement pour personnes âgées dépendantes
EI;endocardite infectieuse ou effet indésirable
EIG;espace intercostal gauche
ELISA;enzyme-linked immunosorbent assay (dosage d'immunoadsorption par enzyme liée)
EMA;état de mal asthmatique
EME;état de mal épileptique ou état de mort encéphalique
EMG;électromyogramme
EMI;Expérience de mort imminente
EMU;examen microscopique des urines
ENPI;Énurésie nocturne primaire isolée
EO;Étude d'opportunité ou emballage original (le plus petit)
EOH;équipe opérationnelle d'hygiène hospitalière
EP;embolie pulmonaire ou échange plasmatique ou épanchement pleural
EPR (Electronic patient record);dossier patient électronique
EPO;érythropoïétine
EPP;électrophorèse des protéines plasmatiques
EPS;électrophorèse des protéines sériques ou examen parasitologique des selles
EPU;électrophorèse des protéines urinaires
EPV;espace périvitellin
ERV;entérocoque résistant à la vancomycine
ESA;extrasystole auriculaire
ESBL;bactéries productrices de bétalactamase à spectre élargi
ESPT;état de stress post-traumatique
ESS;extrasystole supra ventriculaire
ESV;extrasystole ventriculaire
EtCO2 (end tidal CO2);fraction expirée en CO2
ETO;échocardiographie trans-œsophagienne
ETP;éducation thérapeutique du patient
ETT;échocardiographie trans thoracique
EVA;évaluation visuelle analogique ou échelle visuelle analogique
EVC;état végétatif chronique
EVP;état végétatif persistant
F
F;femme
FA;fibrillation auriculaire / fibrillation atriale
FAN;facteur antinucléaire
FAP;fibrillation auriculaire paroxystique
FAV;fistule artério-veineuse
FC;fréquence cardiaque
FCS;fausse couche spontanée
FCU;frottis cervico-utérien
FCV;Frottis cervico-vaginal
FD;facteur déclenchant
FdR;facteur de risque
FdRCV;facteurs de risque cardio-vasculaires
FE;fraction d'éjection
FEVG, FEVD;fraction d'éjection du ventricule gauche (ou droit)
FF;facteur favorisant
FFI (FFE);faisant fonction d'interne (d'externe)
FFP;fresh frozen plasma (plasma frais congelé)
FH;Flèche hépatique
FHV;fièvre hémorragique virale
FiO2;fraction inspirée en oxygène
FID;fosse iliaque droite
FIG;fosse iliaque gauche
FIP;Familial Interstitial Pneumonia (en)
FIV;fécondation in vitro
FIVETE;fécondation in vitro et transfert d'embryon
FK;fibrose kystique
FLC;facteur de libération de la corticotropine
FMC;formation médicale continue
FML;fibre musculaire lisse
FNH;facteurs naturels d'hydratation
FO;fond d'œil ou foramen ovale (trou de Botal)
FOGD;fibroscopie œso-gastro-duodénale
FOP;foramen ovale perméable
FOSO;feuille d'ouverture de salle d'opération
FQAP;fluoroquinolones anti-pneumococciques
FR;facteur de risque ou facteur rhumatoïde ou fréquence respiratoire
FSC;formule sanguine complète ou fausse couche spontanée
FSE;feuille de soins électronique
FSH;follicle stimulating hormone (hormone folliculo-stimulante)
FSP;feuille de soins papier
FSR;flux sanguin rénal
FV;fibrillation ventriculaire
FX;fracture
G
GxPx;"gravida x, para x (ou x est un chiffre correspondant après le ""G"" au(x) nombre(s) de grossesses, et le ""P"", le nombre d'accouchement(s) après 24 semaines. (G2P2 signifiant par exemple 2 grossesses ayant abouti à 2 accouchements)."
GABA (gamma-aminobutiric acid);acide gamma-aminobutyrique
GAFA;glaucome aigu par fermeture de l'angle
GAJ;glycémie à jeun
GAMF;guichet d'accès aux médecins de famille
GB;globule blanc
GCAO;glaucome chronique à angle ouvert
GCS (Glasgow coma scale);score de Glasgow
GDS;gaz du sang
GDSA;gaz du sang artériel
GEA;gastro-entérite aiguë
GEI;gastro-entérite infantile
GEM;glomérulonéphrite extra-membraneuse
GEU;grossesse extra-utérine
GFA;glaucome en fermeture d'angle
GGT ou γGT;Gamma glutamyl transpeptidase
GH;growth hormone (hormone somatotrope)
GH-RH;GH-releasing hormone (hormone activatrice de l'hormone de croissance)
GHB;gammahydroxy butyrate ou acide gamma-hydroxybutyrique (drogue du viol)
GHM;groupe homogène de malade
GHS;groupe homogène de séjour
GIU;grossesse intra-utérine
GMC;gammapathie monoclonale
GMF;groupe de médecine familiale
GMP;Guanosine monophosphate
GN;glomérulonéphrite
GNA;glomérulonéphrite aigüe
GNEM;glomérulonéphrite extra-membraneuse
GNMP;glomérunonéphrite membrano-proliférative
GNRP;glomérulonéphrite rapidement progressive
GP;glycémie plasmatique
GPA;granulomatose avec polyangéite ou Gestation pour autrui
GPE;gastrostomie percutanée endoscopique
GPS;gangrène périnéo-scrotale
GR;globule rouge
GRP;Gastrin releasing peptide (bombésine)
GVH;graft versus host (réaction du greffon contre l'hôte)
H
H;homme
HAA;hémoculture aero-anaérobie
HAA;Hépatite Alcoolique Aigue
HAD;hospitalisation à domicile ou hypertrophie atriale droite
HAS;Haute Autorité de santé
Hb;hémoglobine
HbA1C;hémoglobine glyquée
HBAG;hémi-bloc antérieur gauche
HbO2;oxyhémoglobine
HBOT;hyperbaric Oxygen Therapy (Médecine hyperbare)
HBP;hypertrophie bénigne de la prostate
HBPM;héparine de bas poids moléculaire
HBPG;hémi-bloc postérieur gauche
HC;hypochondre
HC;hémoculture, hospitalisation complète ou hypercalorique
HCG;human chorionic gonadotropin (hormone gonadotrophine chorionique)t
HCS;hyperplasie congénitale des surrénales
HD;hernie discale, hémorragie digestive ou hippocratisme digital
HDJ;hôpital de jour
HDH;histoire de l'hospitalisation ou hémorragie digestive haute
HDL;high density lipoprotein (lipoprotéine de haute densité)
HDT;hospitalisation à la demande d'un tiers
HED;hématome extra-dural ou hématome épi-dural
HELLP;hemolysis, elevated liver enzymes, low platelets (syndrome d'hémolyse-hépatocytolyse-thrombopénie)
HdM ou HDLM;histoire de la maladie
HGPO;hyperglycémie provoquée par voie orale
HGE;hépato-gastro-enterologie
HGT;hémoglucotest
HH;histoire de l'hospitalisation ou hémorragie
HHV;human herpesvirus
HIB;hernie inguinale bilatérale
HIC;Hypertension intra-crânienne
HIDA;Hepatobiliary iminodiacetic acid (en) (scintigraphie hépatobiliaire avec acide iminodiacétique)
HIP;Hemorragie intra-parenchymateuse
HIS;Hybridation in situ
HIV;human immunodeficiency virus (virus de l'immunodéficience humaine) ou hémorragie intravitréenne
HJ;hôpital de jour
HK;hypokinésie (maladie cardiaque)
HLA;human leucocyte antigen (antigène de leucocyte humain)
HLC;hyperleucocytose
HLH;hémianopsie latérale homonyme
HLM;hématies et leucocytes par minute
HLPNN;Hyperleucocytose à polynucléaires neutrophiles
HM;hôpital militaire
HMG;hépatomégalie
HMA;histoire de la maladie actuelle
HNF;Héparine non fractionnée
HNPCC;hereditary non-polyposis colorectal cancer (cancer colorectal héréditaire sans polypose)
HO;hospitalisation d'office ou hospitalisé
HP;hyperprotidique
HPM;hépatomégalie
HPN;hydrocéphalie à pression normale ou hémoglobinurie paroxystique nocturne
HPRIM;Harmoniser et PRomouvoir l'Informatique Médicale
HPP;Hypertension pulmonaire primitive (renommée en HTAP) ou hémorragie du post-partum
HPV;human papillomavirus (papillomavirus humain)
HRB;Hyperréactivité bronchique
HRP;hématome rétro-placentaire
HRT;hystérectomie radicale totale
HSA;hémorragie sous-arachnoïdienne
HSC;hypersensibilité sino-carotidienne
HSD;hématome sous-dural
HSF;hyalinose segmentaire et focale
HSM;hépato-spléno-mégalie
Htc;hématocrite
HTA;hypertension artérielle
HTAP;Hypertension artérielle pulmonaire
HTIC;hypertension intra-crânienne
HTLV;human T cell leukemia/lymphoma virus (virus humain T lymphotropique)
HTO;hypertension oculaire ou hypotension orthostatique
HTP;hypertension portale
HU;hématurie ou hauteur utérine
HVG;hypertrophie ventriculaire gauche
I
IA;insuffisance aortique (voir aussi Valvulopathie cardiaque) ou intra-artérielle
IAA;intoxication alcoolique aiguë
IAD;insémination artificielle par donneur
IADE;infirmier(-ière) d'anesthésie diplômé(e) d'État
IAMI;insuffisance artérielle du membre inférieur
IAO;infirmier d'accueil et orientation (aux urgences) ou insuffisance aortique
IAT;ischémie aigüe transitoire
IBI;infection bactérienne invasive
IBS;infection bactérienne septicémique
IBODE;infirmier de bloc opératoire diplômé d'État
IC;insuffisance cardiaque, coronaire ou index cardiaque
ICD;insensibilité congénitale à la douleur, insuffisance cardiaque droite
ICG;insuffisance cardiaque gauche
ICP;intervention coronarienne percutanée
ICALIN;indicateur composite des activités de lutte contre les infections nosocomiales
ICT;Ischémie cérébrale transitoire ou index cardiothoracique
ID (in diem);pendant la journée (médicament) ou injection intradermique
IDE;infirmier diplômé d'État
IDM;infarctus du myocarde
IDR;intradermoréaction
IEC;inhibiteur de l'enzyme de conversion
IECA;inhibiteur de l'enzyme de conversion de l'angiotensine
IEPP;immuno-électrophorèse des protéines plasmatiques
IEPS;immuno-électrophorèse des protides sanguins
IEPU;immuno-électrophorèse des urines
IET;intubation endotrachéale
IFAS;Institut de formation d'aide soignant
IFD;immunofluorescence directe
IFI;immunofluorescence indirecte
IFMK;Institut de formation en massa-kinésithérapie
IFSI;Institut de formation en soins infirmier
IG;index glycémique
Ig;immunoglobuline
IGF;insulin-like growth factor (somatomédine)
IHP;interne des hôpitaux de Paris (AIHP : ancien interne des hôpitaux de Paris)
IL;interleukine
IM;insuffisance mitrale, injection intramusculaire ou infarctus du myocarde
IMAO;inhibiteur des monoamine oxydases
IMC;infirmité motrice cérébrale ou indice de masse corporelle
IME;Institut médico-éducatif
IMG;interruption médicale de grossesse
IMNQ;infarctus du myocarde sans onde Q
IMQ;infarctus du myocarde avec onde Q
IMS;ischémie myocardique silencieuse
IMV;intoxication médicamenteuse volontaire
IN;infection nosocomiale
INH;izoniazide
INR;international normalized ratio (rapport normalisé international)
InVS;Institut de veille sanitaire
IO;voie intra-osseuse
IOT;intubation oro-trachéale
IP;index de pulsatilité (sonographie Doppler) ou injection intrapéritonéale
IPD;(articulation) interphalangienne distale
IPe;insuffisance veineuse des perforantes ou insuffisance pancréatique exocrine
IPP;inhibiteur de la pompe à protons ou (articulation) interphalangienne proximale
IPS;indice de pression systolique ou infirmier praticien spécialisé
IPSPL;infirmier praticien spécialisé en première ligne
IR;injection intrarachidienne
IRA;insuffisance rénale aiguë
IRAF;insuffisance rénale aiguë fonctionnelle
IRC;insuffisance rénale chronique ou insuffisance respiratoire chronique
IRCT;insuffisance rénale chronique terminale
IRFSS;institut régional de formation sanitaire et social (nouveau nom des IFSI)
IRM;imagerie par résonance magnétique
IRS;inhibiteur de la recapture de la sérotonine
ISA;insuffisance surrénalienne aiguë
ISL;insuffisance surrénalienne lente
ISLA;Infection spontanée du liquide d'ascite
ISO;infection du site opératoire
IST;infection sexuellement transmissible
IT;insuffisance tricuspide
ITT;incapacité temporaire totale ou intent to treat (intention de traiter)
IU;infection urinaire
IV;intraveineuse
IVA;artère interventriculaire antérieure (artère coronaire)
IVC;insuffisance veineuse chronique
IVD;insuffisance ventriculaire droite ou intraveineuse directe
IVG;insuffisance ventriculaire gauche ou interruption volontaire de grossesse
IVM;intubation-ventilation mécanique
IVMI;Insuffisance veineuse des membres inférieurs
IVP;interventriculaire postérieure (artère coronaire) ou insuffisance veineuse profonde
IVRS;infection des voies respiratoires supérieures
IVS;insuffisance veineuse superficielle
IVSE;intraveineuse seringue électrique
IVT;injection intra-vitréenne
K
K;cancer, carcinome ou potassium
Ka;kaliémie
KBP;cancer bronchopulmonaire
KOD;kyste de l'ovaire droite
KPS;kératite ponctuée superficielle
KT;cathéter
KTC;cathéter central
L
LAF;Lampe à fente
LAL;leucémie aiguë lymphoblastique
LAM;leucémie aiguë myéloblastique ou liquide amniotique méconial
LAP;lésions ano-périnéales, notamment lors de maladie inflammatoire chronique de l'intestin (MICI)
LAT;limitation ou arrêt thérapeutiques ou liquide amniotique teinté
LBA;liquide broncho-alvéolaire
LBNP;lower body negative pressure, pression négative des membres inférieurs
LCR;liquide céphalo-rachidien
LCS;liquide cérébro-spinal
LDH;lactate déshydrogénase
LDL;low density lipoprotein (lipoprotéine de basse densité)
LEAD;lupus érythémateux aigu disséminé
LED;Lupus érythémateux disséminé
LGM;lésions glomérulaires minimes
LGC;logiciel de gestion de cabinet
LH;luteinizing hormone (gonadostimuline)
LH-RH;luteinizing hormone releasing hormone (gonadolibérine)
LID;lobe inférieur droit
LIG;lobe inférieur gauche
LIN;lutte contre les infections nosocomiales
LLC;leucémie lymphoïde chronique
LMC;leucémie myéloïde chronique
LMD;lobe moyen droit (poumons)
LMG;"lobe moyen gauche (poumons) ; NB : le lobe moyen gauche n'existe que lorsque le cœur est à droite dans le situs inversus (auquel cas le poumon droit ne comporte que deux lobes)."
LMNH;lymphome malin non hodgkinien
LNH;lymphome non hodgkinien
LP;libération prolongée (médicament)
LR;solution de lactate de Ringer
LS;(repos ou maintien au) lit strict
LSD;lobe supérieur droit (poumons)
LSG;lobe supérieur gauche (poumons)
LSE;(repos ou maintien au) lit strict élargi
LVA;libération des voies aériennes
M
MA;maladie d'Alzheimer
MAB;maladie affective bipolaire
MADD;mixed anxiety–depressive disorder (en)
